,Year,Quarter,OilPrice,ExChUs,USCPI,USPMI,avgCASS,PrevQuarterCASS
65,2007,4,81.97,7.5019,209.19,51.1,1.231,1.275
66,2008,1,90.69,7.2405,212.174,50.3,1.141,1.231
67,2008,2,108.76,6.9997,213.942,48.8,1.166333333,1.141
68,2008,3,132.83,6.8355,219.016,50,1.101,1.166333333
69,2008,4,72.69,6.8358,216.995,38.9,0.993333333,1.101
70,2009,1,43.86,6.836,211.933,34.9,0.898,0.993333333
71,2009,2,50.28,6.8306,212.709,39.5,0.908,0.898
72,2009,3,64.67,6.8317,214.726,49.9,0.944666667,0.908
73,2009,4,74.08,6.8267,216.509,56,0.929,0.944666667
74,2010,1,77.12,6.8269,217.488,57.2,0.934333333,0.929
75,2010,2,84.18,6.8256,217.403,58.1,1.037,0.934333333
76,2010,3,74.58,6.7762,217.605,56.4,1.074,1.037
77,2010,4,81.72,6.6678,219.035,57.7,1.065,1.074
78,2011,1,92.69,6.5964,221.187,59,1.051333333,1.065
79,2011,2,116.24,6.5267,224.093,58.9,1.129666667,1.051333333
80,2011,3,107.92,6.4575,225.395,52.9,1.155,1.129666667
81,2011,4,99.85,6.371,226.75,51.8,1.064333333,1.155
82,2012,1,107.07,6.3172,227.842,52.8,1.070666667,1.064333333
83,2012,2,113.67,6.3043,229.187,53.7,1.133333333,1.070666667
84,2012,3,96.75,6.3717,228.59,50.6,1.142333333,1.133333333
85,2012,4,103.41,6.2627,231.638,51.2,1.101,1.142333333
86,2013,1,105.1,6.2215,231.679,52.3,1.079,1.101
87,2013,2,98.85,6.1861,231.797,50,1.121666667,1.079
88,2013,3,105.26,6.1343,232.9,54.9,1.129666667,1.121666667
89,2013,4,105.43,6.1032,233.669,56.6,1.086,1.129666667
90,2014,1,102.1,6.0509,235.288,51.3,1.072333333,1.086
91,2014,2,104.87,6.2246,236.468,55.3,1.178333333,1.072333333
92,2014,3,105.23,6.1984,237.498,56.4,1.166333333,1.178333333
93,2014,4,86.08,6.1251,237.43,57.9,1.127333333,1.166333333
94,2015,1,47.11,6.2181,234.747,53.5,1.065333333,1.127333333
95,2015,2,57.54,6.201,236.222,51.5,1.15,1.065333333
96,2015,3,54.34,6.2085,238.034,52.7,1.138,1.15
97,2015,4,46.96,6.3505,237.733,49.4,1.074,1.138
98,2016,1,29.78,6.5726,237.652,48.2,1.033,1.074
99,2016,2,40.75,6.4754,238.992,50.7,1.092666667,1.033
100,2016,3,44.13,6.6771,240.101,52.3,1.112333333,1.092666667
101,2016,4,49.29,6.7303,241.741,52,1.094,1.112333333
102,2017,1,53.59,6.8907,243.62,56,1.053333333,1.094
103,2017,2,52.16,6.8876,244.274,55.3,1.150333333,1.053333333
104,2017,3,47.66,6.7694,244.28,56.5,1.143666667,1.150333333
105,2017,4,54.92,6.6254,246.657,58.5,1.153,1.143666667
106,2018,1,66.23,6.4233,248.721,59.1,1.179333333,1.153
107,2018,2,68.79,6.2967,250.275,57.9,1.262666667,1.179333333
108,2018,3,72.67,6.7164,251.345,58.4,1.237666667,1.262666667
109,2018,4,76.73,6.9191,252.899,57.5,1.176,1.237666667
110,2019,1,56.58,6.7863,252.441,56.6,1.166,1.176
111,2019,2,68.58,6.7161,255.326,53.4,1.201,1.166
112,2019,3,61.48,6.8775,255.925,51.3,1.186666667,1.201
113,2019,4,57.27,7.0961,257.387,48.5,1.109333333,1.186666667
114,2020,1,61.63,6.9184,258.687,50.9,1.064666667,1.109333333
